timestamp,chapter,exit_code,ai_rate,colloquial_freq,uniformity,word_count,villain_threat_level,villain_action_count,villain_town_count,shuangdian_density,shuangdian_count,setback_count,setback_phase,golden_finger_cost_count,long_paragraph_count,dialogue_particle_ratio,cringe_monologue_count,scene_break_count,critical_count,warning_count,hm_a_count,hm_b_count,hm_dash_count,hm_bracket_count,hm_emoji_count
2026-04-22 01:52:51,20,1,64.9,0.74,82.9,3610,strong,2,23,0.4,2,2,climax,1,0,0.0,0,4,1,6,2,21,4,0,0
2026-04-22 01:53:14,20,1,64.9,0.74,82.9,3610,strong,2,23,0.4,2,2,climax,1,0,0.0,0,4,1,6,2,21,4,0,0
2026-04-22 01:53:14,20,1,64.9,0.74,82.9,3610,strong,2,23,0.4,2,2,climax,1,0,0.0,0,4,1,6,2,21,4,0,0
2026-04-22 01:55:31,20,1,64.9,0.74,82.9,3610,strong,2,23,0.4,2,2,climax,1,0,0.0,0,4,1,6,2,21,4,0,0
2026-04-22 02:01:02,1,0,58.7,1.3,76.3,2070,weak,0,6,0.0,0,0,establishing,1,0,9.7,0,0,0,3,7,13,1,0,0
2026-04-22 02:01:03,2,0,58.9,0.98,73.8,2343,strong,2,3,1.97,6,1,establishing,0,2,6.9,0,0,0,0,9,17,0,0,0
2026-04-22 02:01:04,3,0,52.3,1.16,81.3,2965,weak,0,11,1.38,5,0,establishing,5,1,11.1,0,0,0,1,8,24,0,0,0
2026-04-22 02:01:04,4,0,55.8,1.59,71.8,3092,strong,1,7,0.0,0,4,rising,4,0,14.3,0,4,0,6,11,10,24,0,0
2026-04-22 02:01:05,5,0,53.3,1.16,57.5,2335,strong,3,3,1.06,3,8,rising,0,0,28.6,0,0,0,0,8,8,3,0,0
2026-04-22 02:01:05,6,0,52.1,1.01,52.2,3028,weak,0,14,0.27,1,5,rising,2,0,0.0,1,0,0,5,13,18,2,0,0
2026-04-22 02:01:06,7,0,54.4,1.12,59.4,2922,weak,0,13,0.28,1,2,rising,9,0,8.3,0,0,0,6,5,23,2,0,0
2026-04-22 02:01:06,8,0,55.1,1.2,63.8,2352,weak,0,1,0.7,2,2,rising,6,1,33.3,1,0,0,2,8,19,1,0,0
2026-04-22 02:01:07,9,0,61.3,1.18,80.1,2529,strong,5,12,1.47,5,1,exempt,0,0,11.1,1,4,0,5,9,13,6,0,0
2026-04-22 02:01:08,10,0,59.3,1.16,75.2,3087,strong,2,5,0.25,1,2,rising,1,0,9.6,0,0,0,4,17,17,34,0,0
2026-04-22 02:01:08,11,0,60.6,0.86,77.2,2010,strong,1,3,0.0,0,2,escalation,3,1,8.0,0,0,0,5,6,9,5,0,0
2026-04-22 02:01:09,12,0,58.9,1.38,74.6,2945,strong,2,2,1.08,4,1,escalation,5,2,7.7,0,0,0,4,11,14,0,0,0
2026-04-22 02:01:09,13,0,65.3,0.19,77.7,2830,weak,0,3,0.53,2,0,exempt,2,2,0.0,0,0,0,1,13,23,0,0,0
2026-04-22 02:01:10,14,0,61.8,0.55,73.9,2790,strong,5,21,0.28,1,2,escalation,1,0,0.0,0,5,0,6,7,27,25,0,0
2026-04-22 02:01:10,15,0,64.6,0.71,82.6,3735,medium,3,0,0.41,2,3,climax,6,0,0.0,1,0,0,5,11,31,4,0,0
2026-04-22 02:01:11,16,0,61.3,1.11,80.5,3812,strong,4,36,0.99,5,1,climax,12,3,0.0,0,4,0,6,11,17,3,0,0
2026-04-22 02:01:12,17,0,62.2,1.16,82.3,2814,strong,16,11,0.26,1,8,climax,5,3,0.0,1,3,0,6,12,10,0,0,0
